     2    0.10577461592855399886E+04    0.45781433493330220275E-01    0.17733306910706909113E-05    0.31556076768426071233E+01
     3    0.10004451661265684379E+04    0.71346998532891975353E-01    0.35471994715485690163E-05    0.38585034172747247894E+01
     4    0.94371816191508594329E+03    0.76518667362307307700E-01    0.59131903302978852397E-05    0.39049460771464725717E+01
     5    0.89963276009264893673E+03    0.64569286317705185119E-01    0.88720081054263108365E-05    0.35722237032048118621E+01
     6    0.86799026249598443883E+03    0.45317799792015563132E-01    0.12424523036533514217E-04    0.30713349384388943797E+01
     7    0.84669160582778249591E+03    0.27574889264855417109E-01    0.16571763704399881646E-04    0.25364382167980075167E+01
     8    0.83298864015102208214E+03    0.15648988043942581305E-01    0.21314908648493249176E-04    0.20477092178077773710E+01
     9    0.82517266521273734270E+03    0.96002013646535461211E-02    0.26655276894924433785E-04    0.16434619636183984692E+01
    10    0.82192414706369879696E+03    0.73232941694192209975E-02    0.32594317254458245582E-04    0.13414524036104487070E+01
    11    0.82185660880686884866E+03    0.65713731315893584781E-02    0.39133596635932560177E-04    0.11439286108938662156E+01
    12    0.82532154196320334449E+03    0.60804187173376742642E-02    0.46274787487526689706E-04    0.10438794784688423256E+01
    13    0.83060925493750653459E+03    0.53351743964170977516E-02    0.54019654322372867073E-04    0.10168188002734728226E+01
    14    0.83681774126577704465E+03    0.46976035361697169798E-02    0.62370039654799559357E-04    0.10351185520315266952E+01
    15    0.84430195031345579082E+03    0.43374700069386488283E-02    0.71327849334399160515E-04    0.10826970662970021309E+01
    16    0.85352399046082439327E+03    0.43045347782142773588E-02    0.80895037435496113172E-04    0.11472961943858546174E+01
    17    0.86441478623351395072E+03    0.45810716484986999802E-02    0.91073590828151377609E-04    0.12172113249742622099E+01
    18    0.87602700915955642813E+03    0.49586803405661664459E-02    0.10186551361670191857E-03    0.12838632550696309487E+01
    19    0.88918564803604522240E+03    0.53821435056932726698E-02    0.11327281144634785456E-03    0.13438610803798201054E+01
    20    0.90221481779362056841E+03    0.58978933663507236013E-02    0.12529747608475843863E-03    0.13938311134647023426E+01
    21    0.91547955267183147043E+03    0.65385800388697524685E-02    0.13794147018236075069E-03    0.14396169443258619580E+01
    22    0.92927216734006924526E+03    0.74026596704589477105E-02    0.15120671218741329328E-03    0.14868551941789205362E+01
    23    0.94341026637060804205E+03    0.85062857533436848911E-02    0.16509506212537947058E-03    0.15360400266286420301E+01
    24    0.95795409530448603164E+03    0.98140305263645435940E-02    0.17960830753239743476E-03    0.15866540194569640487E+01
    25    0.97284921942249616222E+03    0.11337667882299423683E-01    0.19474815082555450570E-03    0.16392015560966930465E+01
    26    0.98791325728051617716E+03    0.13057611322460327755E-01    0.21051619692883066608E-03    0.16950123449001777143E+01
    27    0.10033838380921740736E+04    0.14945798330682658062E-01    0.22691394168122065896E-03    0.17504900545215602570E+01
    28    0.10191151378265584526E+04    0.17003102592998042136E-01    0.24394276233686049788E-03    0.18024796310440229785E+01
    29    0.10351617286862569927E+04    0.19240222807896101981E-01    0.26160390834163623755E-03    0.18493915658368951238E+01
    30    0.10514338749119497152E+04    0.21674107581320201793E-01    0.27989849291071706690E-03    0.18887539080172432993E+01
    31    0.10678070456054388160E+04    0.24297510765878917172E-01    0.29882748773546859372E-03    0.19193134397076141440E+01
    32    0.10845317707191743466E+04    0.27093134209641767107E-01    0.31839171627760396929E-03    0.19398528191918122943E+01
    33    0.11016108123298793089E+04    0.30075951756446468038E-01    0.33859185160428937689E-03    0.19482279857029374259E+01
    34    0.11188703201879443441E+04    0.33278066152538351985E-01    0.35942841238404397465E-03    0.19439857023014965876E+01
    35    0.11362720281160638933E+04    0.36719540553360255353E-01    0.38090176352570203179E-03    0.19313170586360060010E+01
    36    0.11537421932641061630E+04    0.40417686565075112981E-01    0.40301211551200790068E-03    0.19129900148695526685E+01
    37    0.11713009969697368433E+04    0.44358165594373680229E-01    0.42575952669998630602E-03    0.18852983590436613870E+01
    38    0.11892617411931391871E+04    0.48530898923928866839E-01    0.44914390645643659629E-03    0.18459860861951089550E+01
    39    0.12076048971632503708E+04    0.52946271015198248522E-01    0.47316501986281267553E-03    0.17962323804036688379E+01
    40    0.12260605913884353413E+04    0.57625352918289421411E-01    0.49782249473023570605E-03    0.17378709726726688789E+01
    41    0.12447379794224011675E+04    0.62589730202169915896E-01    0.52311582694805137169E-03    0.16718756781655523813E+01
    42    0.12634052421341273202E+04    0.67842991837852514858E-01    0.54904439052321874024E-03    0.15965976493762099597E+01
    43    0.12822095892666427517E+04    0.73384041466041938229E-01    0.57560744647014352310E-03    0.15097509743608921173E+01
    44    0.13010010973538562666E+04    0.79196925399848933091E-01    0.60280415357835193720E-03    0.14099411837894129107E+01
    45    0.13201498281356859934E+04    0.85276089020990292200E-01    0.63063358015634702648E-03    0.12958481325158370812E+01
    46    0.13395816657508737535E+04    0.91620196873978973495E-01    0.65909471679369388726E-03    0.11647629148682652200E+01
    47    0.13591543026601818838E+04    0.98231420977281894147E-01    0.68818648862426716039E-03    0.10183011668013712825E+01
    48    0.13788012379762355977E+04    0.10511986671332289311E+00    0.71790776988225912282E-03    0.86181532493783219451E+00
    49    0.13986045379787001366E+04    0.11227335384342571056E+00    0.74825739846783479326E-03    0.70006359761181446988E+00
    50    0.14187948359695428735E+04    0.11967227323100972092E+00    0.77923418850685103893E-03    0.53102214855429752394E+00
    51    0.14391542815418731607E+04    0.12729219349069056944E+00    0.81083694858334186707E-03    0.35091433435113461581E+00
